ArtikkelNr;Beskr;LevNr;LevKod;LevFargKod;Sasong;KjedeInnkPris;TotalLagerBeh;RegistrertDato;SistEndretDato;Antall;But. med lager;Lager ant. pr. butikk;Strekkoder
9805665;G.N.H. RIB KNIT SCARF;40;92020;280;201703;0;15;11/09/07;22/11/19;3;1;15;0200001106545,0200001106552,7322624112543
9808667;RIB KNIT SCARF;40;92020;280;201803;0;0;29/08/08;22/11/19;3;;;7322627454091
9805666;G.N.H. RIB KNIT SCARF;40;92020;283;201703;0;0;11/09/07;22/11/19;2;;;7322624112550
9808672;RIB KNIT SCARF;40;92020;283;201803;0;0;29/08/08;22/11/19;2;;;7322627454107
9803369;RIB KNIT SCARF G.N.H.;40;92020;285;201603;240;0;25/08/06;22/11/19;2;;;7322622666703
9805667;G.N.H. RIB KNIT SCARF;40;92020;285;201703;0;0;11/09/07;22/11/19;2;;;7322624112505
9803372;RIB KNIT SCARF G.N.H.;40;92020;5;201603;240;8;25/08/06;22/11/19;3;1;8;0200001108945,0200001108952,7322622666635
9805668;G.N.H. RIB KNIT SCARF;40;92020;5;201703;0;0;11/09/07;22/11/19;3;;;0200001106507,0200001106514,7322624112598
9808674;RIB KNIT SCARF;40;92020;5;201803;0;0;29/08/08;22/11/19;3;;;7322627450307
9803373;RIB KNIT SCARF G.N.H.;40;92020;690;201603;240;0;25/08/06;22/11/19;2;;;7322622678164
9805669;G.N.H. RIB KNIT SCARF;40;92020;690;201703;0;0;11/09/07;22/11/19;2;;;7322624112390
9803374;RIB KNIT SCARF G.N.H.;40;92020;97;201603;240;8;25/08/06;22/11/19;3;1;8;0200001108969,0200001108976,7322622678126
9805671;G.N.H. RIB KNIT SCARF;40;92020;97;201703;0;0;11/09/07;22/11/19;3;;;7322624112567
9808669;RIB KNIT SCARF;40;92020;97;201803;0;0;29/08/08;22/11/19;3;;;7322627450321
9803537;FADING COLOR KNIT SCARF G.N.H.;40;92050;205;201603;140;15;28/09/06;22/11/19;3;1;15;0200001108600,0200001108617,7322622676894
9805690;G.N.H. FADING COLOR KNIT SCARF;40;92050;205;201703;0;12;19/09/07;22/11/19;3;1;12;7322624897914
9808354;FADING COLOR KNIT SCARF;40;92050;205;201803;0;24;24/07/08;22/11/19;3;1;24;7322621566684
9803539;FADING COLOR KNIT SCARF G.N.H.;40;92050;405;201603;140;1;28/09/06;22/11/19;2;1;1;0200001108624,0200001108631,7322622676900
9808355;FADING COLOR KNIT SCARF;40;92050;405;201803;0;24;24/07/08;22/11/19;2;1;24;7322621567148
9805251;G.N.H. DOUBLE CHECK SCARF;40;92052;410;201703;0;8;10/08/07;22/11/19;2;1;8;0200001103278,0200001103285,7322624898546
9808357;DOUBLE CHECK SCARF;40;92052;410;201803;0;0;24/07/08;22/11/19;2;;;7322621567605
9805252;G.N.H. DOUBLE CHECK SCARF;40;92052;5;201703;0;0;10/08/07;22/11/19;2;;;0200001103292,0200001103308,7322624898492
9808358;DOUBLE CHECK SCARF;40;92052;5;201803;0;0;24/07/08;22/11/19;2;;;7322621567513
9803545;DOUBLE CHECK SCARF G.N.H.;40;92052;92;201603;0;4;28/09/06;22/11/19;2;1;4;0200001108662,0200001108679,7322622679109
9808359;DOUBLE CHECK SCARF;40;92052;92;201803;0;0;24/07/08;22/11/19;2;;;7322621567537
9803546;DOUBLE FACE SCARF G.N.H.;40;92053;205;201603;0;0;28/09/06;22/11/19;2;;;7322622674395
9805256;G.N.H. DOUBLE FACE SCARF;40;92053;205;201703;0;0;10/08/07;22/11/19;2;;;7322624898607
9810179;SOLID LAMBSWOOL WOVEN SCARF;40;92070;115;201203;66,71;0;30/06/09;05/03/20;3;;;7322624404099
9805501;G.N.H. SOLID LAMBSWOOL SCARF;40;92070;115;201703;0;0;31/08/07;22/11/19;3;;;7322623690455
9808280;SOLID LAMBSWOOL WOVEN SCARF;40;92070;115;201803;0;0;14/07/08;22/11/19;3;;;7322628066453
9814110;SOLID LAMBSWOOL WOVEN SCARF;40;92070;205;201203;66,71;1;27/07/10;07/11/19;3;20;1;0200001079337,0200001079344,7322629784523
9803037;SOLID LAMBSWOOL SCARF G.N.H.;40;92070;205;201603;0;0;02/08/06;22/11/19;3;;;7322622670021
9805502;G.N.H. SOLID LAMBSWOOL SCARF;40;92070;205;201703;0;0;31/08/07;22/11/19;3;;;7322623690462
9824519;SOLID LAMBSWOOL WOVEN SCARF;40;92070;271;201203;66,71;0;18/07/12;07/11/19;2;;;7321366981363
9803024;SOLID LAMBSWOOL SCARF G.N.H.;40;92070;271;201603;0;0;01/08/06;22/11/19;2;;;7322622670052
9808272;SOLID LAMBSWOOL WOVEN SCARF;40;92070;405;201203;66,71;0;14/07/08;07/11/19;2;;;0200001071188,0200001071195,7322628066378,7322629784493
9803025;SOLID LAMBSWOOL SCARF G.N.H.;40;92070;405;201603;0;0;01/08/06;22/11/19;2;;;7322622670083
9810181;SOLID LAMBSWOOL WOVEN SCARF;40;92070;5;201203;66,71;10;30/06/09;07/11/19;4;1|20;5|5;0200001034459,0200001034466,7322629784547
9803026;SOLID LAMBSWOOL SCARF G.N.H.;40;92070;5;201603;0;6;01/08/06;22/11/19;4;1;6;7322622674562
9805506;G.N.H. SOLID LAMBSWOOL SCARF;40;92070;5;201703;0;0;31/08/07;05/03/20;4;;;7322623690172
9808273;SOLID LAMBSWOOL WOVEN SCARF;40;92070;5;201803;0;0;14/07/08;22/11/19;4;;;7322628066477
9824521;SOLID LAMBSWOOL WOVEN SCARF;40;92070;610;201203;66,71;2;18/07/12;07/11/19;3;20;2;7321360772769
9803027;SOLID LAMBSWOOL SCARF G.N.H.;40;92070;610;201603;0;0;01/08/06;22/11/19;3;;;7322622672261
9805507;G.N.H. SOLID LAMBSWOOL SCARF;40;92070;610;201703;0;0;31/08/07;22/11/19;3;;;7322623690615
9810182;SOLID LAMBSWOOL WOVEN SCARF;40;92070;90;201203;66,71;0;30/06/09;05/03/20;2;;;0200001076633,0200001076640,7322629784554
9806393;G.N.H. SOLID LAMBSWOOL SCARF;40;92070;90;201703;0;0;14/12/07;05/03/20;2;;;7322623690189
9803028;SOLID LAMBSWOOL SCARF G.N.H.;40;92070;91;201603;0;6;01/08/06;22/11/19;3;1;6;7322622679185
9805509;G.N.H. SOLID LAMBSWOOL SCARF;40;92070;91;201703;0;0;31/08/07;22/11/19;3;;;7322623690431
9808274;SOLID LAMBSWOOL WOVEN SCARF;40;92070;91;201803;0;0;14/07/08;22/11/19;3;;;7322628066491
9814106;SOLID LAMBSWOOL WOVEN SCARF;40;92070;92;201203;66,71;0;27/07/10;07/11/19;2;;;0200001071201,0200001071218,7322625219012
9810183;SOLID LAMBSWOOL WOVEN SCARF;40;92070;92;201803;0;0;30/06/09;22/11/19;2;;;7322629784561
9810185;HERRINGBONE LAMBSWOOL WOVEN SCARF;40;92071;205;201203;70,41;0;30/06/09;07/11/19;2;;;0200001076657,0200001076664,7322629998784
9803029;HERRINGBONE SCARF G.N.H.;40;92071;205;201603;0;0;01/08/06;22/11/19;2;;;7322622670168
9810224;HERRINGBONE SCARF;40;92071;90;201203;70,41;6;30/06/09;07/11/19;2;1;6;0200001071249,0200001071256,7322629998739
9808277;HERRINGBONE  SCARF;40;92071;90;201803;0;0;14/07/08;22/11/19;2;;;7322628064893
9810226;SOLID CASHMERE WOVEN SCARF;40;92097;5;201203;277,02;0;30/06/09;07/11/19;2;;;0200001030642,0200001030659,7322629784608
9808282;SOLID CASHMERE WOVEN SCARF;40;92097;5;201803;0;0;14/07/08;22/11/19;2;;;7322628064954
9805673;G.N.H. BLOCK STRIPE KNIT SCARF;40;92162;405;201703;0;0;11/09/07;22/11/19;2;;;7322624112796
9808699;BLOCK STRIPE KNIT SCARF;40;92162;405;201803;0;0;04/09/08;05/03/20;2;;;7322627455319
9805674;G.N.H. BLOCK STRIPE KNIT SCARF;40;92162;610;201703;0;0;11/09/07;22/11/19;2;;;7322624112802
9808700;BLOCK STRIPE KNIT SCARF;40;92162;610;201803;0;0;04/09/08;22/11/19;2;;;7322627455340
9826077;LAMBSWOOL 2X2  RIB SCARF;40;92500;280;201203;77,48;0;20/09/12;05/03/20;2;;;7322629995103
9810806;SOLID LAMBSWOOL RIB SCARF;40;92500;280;201803;0;0;19/08/09;22/11/19;2;;;7322629172504
9826079;LAMBSWOOL 2X2  RIB SCARF;40;92500;5;201203;77,48;0;20/09/12;05/03/20;2;;;7322629995592
9810807;SOLID LAMBSWOOL RIB SCARF;40;92500;5;201803;0;0;19/08/09;22/11/19;2;;;7322629172511
9826080;LAMBSWOOL 2X2  RIB SCARF;40;92500;690;201203;77,48;0;20/09/12;05/03/20;2;;;7321367058712
9810801;SOLID LAMBSWOOL RIB SCARF;40;92500;690;201803;0;0;19/08/09;22/11/19;2;;;7322629171712
9803478;SOLID WOOL KNIT GLOVES G.N.H.;40;93000;5;201603;0;6;04/09/06;30/03/20;3;1;6;7322622666222,7322622669360
9805457;G.N.H. SOLID WOOL KNIT GLOVES;40;93000;5;201703;0;0;22/08/07;22/11/19;3;;;7322624734578,7322624734653
9808753;SOLID WOOL KNIT GLOVES;40;93000;5;201803;0;8;19/09/08;05/03/20;3;1;8;7322620143152,7322620155780,7322621372414,7322621372629
9803479;SOLID WOOL KNIT GLOVES G.N.H.;40;93000;90;201603;0;6;04/09/06;30/03/20;3;1;6;7322622666253,7322622669407
9805458;G.N.H. SOLID WOOL KNIT GLOVES;40;93000;90;201703;0;0;22/08/07;22/11/19;3;;;7322624734585,7322624734660
